Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,DESCRIPTION,HEIGHT,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,POPULARITY,SPICEPREFIX,TP_SIGNAL_NAME
2,,PINHD-1X1,1X01,"JP1, JP2","PIN HEADER",,,,,,,,,,,,,,,64,,
1,0.36-0.4-2CHAR_SMD_MIRROR,0.36-0.4-2CHAR_SMD_MIRROR,COMBO-036-04_SMD,U$2,,,,,,,,,,,,,,,,,,
12,100n,C-EUC0603,C0603,"C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C19, C20","CAPACITOR, European symbol",,,,,,,,,,,,,,,73,C,
6,10k,R-EU_R0603,R0603,"R1, R17, R19, R20, R21, R22","RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
3,10u,C-EUC0603,C0603,"C15, C16, C17","CAPACITOR, European symbol",,,,,,,,,,,,,,,73,C,
3,1N5819WS,1N4148WS,SODFL2512X90N,"D1, D2, D3","ON Semiconductor Switching Diode, 300mA 75V, 2-Pin SOD-323 1N4148WS",1N4148WS,https://www.arrow.com/en/products/1n4148ws/on-semiconductor?region=nac,"ON Semiconductor Switching Diode"," 300mA 75V"," 2-Pin SOD-323 1N4148WS",0.9mm,onsemi,1N4148WS,,512-1N4148WS,https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/1N4148WS?qs=2%2FYqgE%252BHg%252BKBrKZlAsMLhw%3D%3D,,,,,,
6,1k,R-EU_R0603,R0603,"R2, R3, R12, R13, R15, R18","RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
4,1u,C-EUC0603,C0603,"C11, C12, C18, C21","CAPACITOR, European symbol",,,,,,,,,,,,,,,73,C,
2,22p,C-EUC0603,C0603,"C1, C2","CAPACITOR, European symbol",,,,,,,,,,,,,,,73,C,
8,330,R-EU_R0603,R0603,"R4, R5, R6, R7, R8, R9, R10, R11","RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
1,3k9,R-EU_R0603,R0603,R16,"RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
1,4k7,R-EU_R0603,R0603,R14,"RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
1,5k6,R-EU_R0603,R0603,R23,"RESISTOR, European symbol",,,,,,,,,,,,,,,70,R,
1,74HC595D,74HC595D,SOIC127P600X175-16N,IC2,"Shift Register, 16 Pin, Plastic, SOP",,,"Shift Register"," 16 Pin"," Plastic"," SOP",1.75mm,NXP,74HC595D,,N/A,https://www.mouser.co.uk/ProductDetail/NXP-Semiconductors/74HC595D?qs=KBAwV6Cvgt0f%252BALigJeNTw%3D%3D,,,,,
1,ADXL362BCCZ-RL7,ADXL362BCCZ-RL7,CC-16-4,AC1,"Accelerometers Micropower 3-Axis Digital Output MEMS",ADXL362BCCZ-RL7,https://www.arrow.com/en/products/adxl362bccz-rl7/analog-devices?region=nac,"Accelerometers Micropower 3-Axis Digital Output MEMS",mm,"Analog Devices",ADXL362BCCZ-RL7,,584-ADXL362BCCZ-R7,https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADXL362BCCZ-RL7?qs=WIvQP4zGanhCOhEEyirq5Q%3D%3D,,,,,,,,
4,AO3400A,AO3400A,SOT95P280X125-3N,"Q1, Q2, Q3, Q4","30V N-Channel MOSFET",AO3400A,https://www.arrow.com/en/products/ao3400a/alpha-and-omega-semiconductor?region=nac,"30V N-Channel MOSFET",1.25mm,"Alpha & Omega Semiconductors",AO3400A,,,,,,,,,,,
1,CH340C,CH340G,SOIC16N,IC4,,,,,,,,,,,,,,,,,,
1,ME6211C33M5G-N,ME6211C50M5G,SOT95P282X145-5N,IC3,ME6211C50M5G,,,ME6211C50M5G,1.45mm,Microne,ME6211C50M5G,,,,,,,,,,,
1,MEGA8-AI,MEGA8-AI,TQFP32-08,IC1,MICROCONTROLLER,,,,,,,,,,,,ATMEGA8-16AU,9171371,73M8863,11,,
1,NCD0805R1,LEDCHIP-LED0805,CHIP-LED0805,LED1,LED,,,,,,,,,,,,,,,68,,
4,OH49E,DRV5055A3QDBZR,SOT95P237X112-3N,"IC7, IC8, IC9, IC10","Hall Effect Sensor 1mA Ratiometric 3.3V/5V 3-Pin SOT-23 T/R",DRV5055A3QDBZR,https://www.arrow.com/en/products/drv5055a3qdbzr/texas-instruments,"Hall Effect Sensor 1mA Ratiometric 3.3V/5V 3-Pin SOT-23 T/R",1.12mm,"Texas Instruments",DRV5055A3QDBZR,,595-DRV5055A3QDBZR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV5055A3QDBZR?qs=rrS6PyfT74dO6qwrOH6T8w%3D%3D,,,,,,,,
2,SDFL2012S100KTF,SDFL2012Q2R7KTF,INDC2112X105N,"L1, L2","Multi-layer Chip Ferrite Inductor",,,"Multi-layer Chip Ferrite Inductor",1.05mm,SUNLORD,SDFL2012Q2R7KTF,,,,,,,,,,,
1,TP4056-42-ESOP8,TP4056-42-ESOP8,SOIC127P600X175-9N,IC5,"PMIC - Battery Management ESOP-8 RoHS",,,"PMIC - Battery Management ESOP-8 RoHS",1.75mm,"Nanjing Extension Microelectronics",TP4056-42-ESOP8,,,,,,,,,,,
1,"TPB1,27","TPB1,27","B1,27",TP2,"Test pad",,,,,,,,,,,,,,,19,,
1,WIRELESS-NRF24L01-SMD-PA,WIRELESS-NRF24L01-SMD-PA,WIRELESS-NRF24L01_SMD_PA,U$4,,,,,,,,,,,,,,,,,,
1,X322516MLB4SI,X322516_BETTER,X322516MLB4SI,U$1,,,,,,,,,,,,,,,,,,
1,np,PINHD-1X2,1X02,JP5,"PIN HEADER",,,,,,,,,,,,,,,98,,
1,np,PINHD-1X4,1X04,JP4,"PIN HEADER",,,,,,,,,,,,,,,91,,
