AC1,50.16,20.32,0.00,ADXL362BCCZ-RL7,CC-16-4
C1,64.26,15.62,90.00,22p,C0603
C10,76.64,7.62,180.00,100n,C0603
C11,73.66,9.53,0.00,1u,C0603
C12,76.58,9.53,180.00,1u,C0603
C13,67.56,12.57,180.00,100n,C0603
C14,46.99,20.32,90.00,100n,C0603
C15,22.23,6.99,0.00,10u,C0603
C16,71.82,21.91,0.00,10u,C0603
C17,75.63,21.91,180.00,10u,C0603
C18,46.42,8.89,90.00,1u,C0603
C19,8.06,3.05,270.00,100n,C0603
C2,61.60,19.05,0.00,22p,C0603
C20,8.06,21.97,90.00,100n,C0603
C21,44.45,8.89,90.00,1u,C0603
C3,60.83,11.62,0.00,100n,C0603
C4,45.40,13.02,90.00,100n,C0603
C5,47.37,13.02,90.00,100n,C0603
C6,60.83,3.68,180.00,100n,C0603
C7,39.56,16.83,180.00,100n,C0603
C8,22.23,8.95,180.00,100n,C0603
C9,73.66,7.62,0.00,100n,C0603
D1,74.55,1.65,180.00,1N5819WS,SODFL2512X90N
D2,79.38,1.65,0.00,1N5819WS,SODFL2512X90N
D3,39.31,18.73,180.00,1N5819WS,SODFL2512X90N
IC1,53.34,12.38,180.00,MEGA8-AI,TQFP32-08
IC10,15.00,21.04,180.00,OH49E,SOT95P237X112-3N
IC2,39.12,10.47,0.00,74HC595D,SOIC127P600X175-16N
IC3,74.93,4.45,0.00,ME6211C33M5G-N,SOT95P282X145-5N
IC4,67.50,6.41,0.00,CH340C,SOIC16N
IC5,73.72,18.10,180.00,TP4056-42-ESOP8,SOIC127P600X175-9N
IC7,11.00,21.04,180.00,OH49E,SOT95P237X112-3N
IC8,11.00,3.32,180.00,OH49E,SOT95P237X112-3N
IC9,15.00,3.32,180.00,OH49E,SOT95P237X112-3N
JP1,49.02,2.92,0.00,,1X01
JP2,51.56,2.92,0.00,,1X01
JP4,83.82,12.38,90.00,np,1X04
JP5,60.96,22.23,180.00,np,1X02
L1,46.42,15.62,0.00,SDFL2012S100KTF,INDC2112X105N
L2,42.86,16.83,180.00,SDFL2012S100KTF,INDC2112X105N
LED1,68.64,20.64,0.00,NCD0805R1,CHIP-LED0805
Q1,43.18,19.69,180.00,AO3400A,SOT95P280X125-3N
Q2,35.56,2.54,180.00,AO3400A,SOT95P280X125-3N
Q3,55.25,3.18,270.00,AO3400A,SOT95P280X125-3N
Q4,34.61,19.62,180.00,AO3400A,SOT95P280X125-3N
R1,60.83,5.65,0.00,10k,R0603
R10,30.23,8.57,0.00,330,R0603
R11,33.40,7.30,0.00,330,R0603
R12,79.57,9.53,180.00,1k,R0603
R13,46.42,5.84,90.00,1k,R0603
R14,73.72,14.29,0.00,4k7,R0603
R15,68.64,16.83,270.00,1k,R0603
R16,40.01,21.59,270.00,3k9,R0603
R17,38.04,21.59,90.00,10k,R0603
R18,44.45,5.84,90.00,1k,R0603
R19,58.29,3.18,90.00,10k,R0603
R2,60.83,9.59,180.00,1k,R0603
R20,39.94,1.71,180.00,10k,R0603
R21,46.67,17.72,180.00,10k,R0603
R22,78.74,4.45,270.00,10k,R0603
R23,80.65,4.45,90.00,5k6,R0603
R3,60.83,7.62,180.00,1k,R0603
R4,30.23,16.19,0.00,330,R0603
R5,33.40,14.92,0.00,330,R0603
R6,30.23,13.65,0.00,330,R0603
R7,33.40,12.38,0.00,330,R0603
R8,30.23,11.11,0.00,330,R0603
R9,33.40,9.84,0.00,330,R0603
TP2,52.32,5.97,0.00,"TPB1,27","B1,27"
U$1,61.60,15.88,90.00,X322516MLB4SI,X322516MLB4SI
U$4,12.02,12.38,180.00,WIRELESS-NRF24L01-SMD-PA,WIRELESS-NRF24L01_SMD_PA
