Designator,Mid X,Mid Y,Layer,Rotation
AC1,50.16,20.32,Top,0.00
C1,64.26,15.62,Top,90.00
C10,76.64,7.62,Top,180.00
C11,73.66,9.53,Top,0.00
C12,76.58,9.53,Top,180.00
C13,67.56,12.57,Top,180.00
C14,46.99,20.32,Top,90.00
C15,22.23,6.99,Top,0.00
C16,71.82,21.91,Top,0.00
C17,75.63,21.91,Top,180.00
C18,46.42,8.89,Top,90.00
C19,8.06,3.05,Top,270.00
C2,61.60,19.05,Top,0.00
C20,8.06,21.97,Top,90.00
C21,44.45,8.89,Top,90.00
C3,60.83,11.62,Top,0.00
C4,45.40,13.02,Top,90.00
C5,47.37,13.02,Top,90.00
C6,60.83,3.68,Top,180.00
C7,39.56,16.83,Top,180.00
C8,22.23,8.95,Top,180.00
C9,73.66,7.62,Top,0.00
D1,74.55,1.65,Top,180.00
D2,79.38,1.65,Top,0.00
D3,39.31,18.73,Top,180.00
IC1,53.34,12.38,Top,180.00
IC10,15.00,21.04,Top,180.00
IC2,39.12,10.47,Top,0.00
IC3,74.93,4.45,Top,0.00
IC4,67.50,6.41,Top,0.00
IC5,73.72,18.10,Top,180.00
IC7,11.00,21.04,Top,180.00
IC8,11.00,3.32,Top,180.00
IC9,15.00,3.32,Top,180.00
JP1,49.02,2.92,Top,0.00
JP2,51.56,2.92,Top,0.00
JP4,83.82,12.38,Top,90.00
JP5,60.96,22.23,Top,180.00
L1,46.42,15.62,Top,0.00
L2,42.86,16.83,Top,180.00
LED1,68.64,20.64,Top,0.00
Q1,43.18,19.69,Top,180.00
Q2,35.56,2.54,Top,180.00
Q3,55.25,3.18,Top,270.00
Q4,34.61,19.62,Top,180.00
R1,60.83,5.65,Top,0.00
R10,30.23,8.57,Top,0.00
R11,33.40,7.30,Top,0.00
R12,79.57,9.53,Top,180.00
R13,46.42,5.84,Top,90.00
R14,73.72,14.29,Top,0.00
R15,68.64,16.83,Top,270.00
R16,40.01,21.59,Top,270.00
R17,38.04,21.59,Top,90.00
R18,44.45,5.84,Top,90.00
R19,58.29,3.18,Top,90.00
R2,60.83,9.59,Top,180.00
R20,39.94,1.71,Top,180.00
R21,46.67,17.72,Top,180.00
R22,78.74,4.45,Top,270.00
R23,80.65,4.45,Top,90.00
R3,60.83,7.62,Top,180.00
R4,30.23,16.19,Top,0.00
R5,33.40,14.92,Top,0.00
R6,30.23,13.65,Top,0.00
R7,33.40,12.38,Top,0.00
R8,30.23,11.11,Top,0.00
R9,33.40,9.84,Top,0.00
TP2,52.32,5.97,Top,0.00
U$1,61.60,15.88,Top,90.00
U$4,12.02,12.38,Top,180.00
